iter	Passed	Remaining
0	142	14121
1	146	7190
2	150	4859
3	152	3668
4	156	2977
5	160	2515
6	164	2180
7	167	1930
8	171	1736
9	175	1578
10	179	1450
11	183	1343
12	186	1249
13	190	1168
14	193	1097
15	197	1037
16	201	983
17	205	934
18	208	889
19	212	850
20	216	814
21	220	780
22	223	749
23	228	722
24	231	695
25	235	670
26	239	648
27	244	627
28	248	608
29	254	593
30	258	574
31	262	558
32	266	541
33	270	525
34	275	511
35	279	496
36	283	482
37	287	468
38	291	455
39	295	442
40	299	430
41	302	418
42	306	406
43	310	395
44	314	384
45	318	373
46	322	363
47	326	353
48	329	343
49	334	334
50	338	325
51	342	315
52	345	306
53	349	297
54	354	289
55	358	281
56	362	273
57	366	265
58	370	257
59	375	250
60	381	243
61	385	236
62	389	228
63	392	221
64	397	213
65	401	206
66	405	199
67	409	192
68	413	185
69	417	179
70	421	172
71	425	165
72	429	158
73	433	152
74	437	145
75	441	139
76	446	133
77	450	127
78	454	120
79	458	114
80	463	108
81	467	102
82	472	96
83	476	90
84	480	84
85	487	79
86	491	73
87	495	67
88	501	61
89	505	56
90	509	50
91	514	44
92	518	39
93	522	33
94	526	27
95	531	22
96	535	16
97	540	11
98	545	5
99	549	0
